platform,official_source_links,content_types,communities_categories,how_creators_earn,payout_methods_and_thresholds,fees_or_subscriptions_required,ai_content_policy_and_disclosure,human_verification_kyc,automation_programmatic_publishing_allowed,previously_published_allowed,exclusivity_requirements,contest_challenge_restrictions,builtin_audience_signals,current_creator_activity,formats_topics_in_demand,revenue_potential_hypothesis,time_to_first_revenue_hypothesis,operational_difficulty,compliance_risk,evidence_freshness_date,evidence_tier,overall_score,reason
Vocal Media,NOT_RETRIEVED (vocal.media egress-blocked),"Prose (min 600 words), poetry (min 100 words), English only",UNKNOWN,CPM per view; Vocal+ higher rate; reader Pledges; challenges,"Stripe; min $35 withdrawal, $20 for Vocal+; $3.80/1k views, $6.00/1k reads Vocal+; Pledge $2.99 -> $2.30 creator","Vocal+ optional, $9.99/month","UNKNOWN - CRITICAL GAP, targeted search returned nothing platform-specific",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Runs paid Challenges; terms UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Low per-view; Challenges may dominate realistic upside,Gated by $35/$20 threshold at $3.80 CPM = high view volume needed,Low to publish,UNKNOWN until AI policy verified,2026-08-16,T2/T3,WITHHELD,Spec-named template; best-documented economics; AI policy unknown blocks scoring
Medium,NOT_RETRIEVED (help.medium.com egress-blocked),"Essays, articles, nonfiction",UNKNOWN,"Partner Program, paid-member read time",UNKNOWN,UNKNOWN,"AI-generated content BARRED from Partner Program: not paywallable, ineligible for Boost, non-compliance can mean program removal. Undisclosed AI = Network Only distribution; disclosed AI = General Distribution only. AI outlining/grammar/fact-check tools permitted",UNKNOWN,UNKNOWN,"UNKNOWN (import/canonical feature exists, terms unverified)",UNKNOWN,UNKNOWN,Large built-in readership,UNKNOWN,UNKNOWN,Low for AI-native workflow - monetization path is closed by policy,Not viable for AI-generated content,UNKNOWN,HIGH for this business model,2026-08-16,T2/T3,WITHHELD,Likely disqualified for AI-native use despite large audience
Substack,NOT_RETRIEVED (substack.com egress-blocked),"Newsletters, essays, serialized writing",UNKNOWN,Paid subscriptions,Stripe; 10% platform fee + Stripe fees = 13-16% of gross effective,No upfront fee; revenue share only,UNKNOWN,Stripe onboarding = KYC; country-gated. India/Brazil/Indonesia/Mexico/Malaysia/Thailand documented exceptions; India needs direct Stripe invite (as of 2024-05),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Weak built-in discovery; owned-audience model,UNKNOWN,UNKNOWN,"High ceiling, slow start, needs audience",Long - audience must be built first,"Low setup, high audience cost",Gated by HG-02 payout eligibility,2026-08-16,T2/T3,WITHHELD,Fee terms clear; country eligibility and AI policy unresolved
Webnovel,UNKNOWN,Serialized web fiction,UNKNOWN,Coin-unlock per chapter; contract/featured premium placement,UNKNOWN,UNKNOWN,MOST PERMISSIVE FOUND - launched expanded AI writing toolkit Feb 2026,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN - contract terms commonly exclusive, must verify",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Potentially high; AI stance compatible with this business,UNKNOWN,High - long serial commitment,Contract lock-in risk,2026-08-16,T3,WITHHELD,Highest AI-compatibility signal found; verify contract and exclusivity first
Inkitt,UNKNOWN,"Serialized fiction, novels",UNKNOWN,Contracted authors up to 100% of subscription revenue after platform fees; ebook/audio adaptations 6% royalties; top performers reported up to $40k/yr,UNKNOWN,UNKNOWN,Disclosure-based: offers an AI-Assisted Content Label,UNKNOWN,UNKNOWN,UNKNOWN,"UNKNOWN - contract based, must verify",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,High for selected/contracted works only,Long - selection dependent,UNKNOWN,UNKNOWN,2026-08-16,T3,WITHHELD,Disclosure model is compatible with R3 honest-disclosure requirement
Tapas,UNKNOWN,"Serialized fiction, comics",UNKNOWN,70% ad revenue share; tips; merchandise; premium contracts,UNKNOWN,UNKNOWN,Restrictive - reported to shut down AI works,UNKNOWN,UNKNOWN,UNKNOWN,Digital exclusivity during monetization period under premium contracts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH for AI-native workflow,2026-08-16,T3,WITHHELD,Restrictive AI stance plus exclusivity conflicts with asset-reuse strategy
Wattpad,UNKNOWN,Serialized fiction,UNKNOWN,"Paid Stories (selected authors, paywalled chapters); Wattys awards",UNKNOWN,UNKNOWN,Strongly discourages generative AI; AI editing/outlining/research tools at author discretion; Wattys 2026 rubrics reward human creativity,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Wattys 2026 running; AI-discouraged rubric,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,HIGH for AI-native workflow,2026-08-16,T3,WITHHELD,Restrictive AI stance; selection-gated monetization
Royal Road,UNKNOWN,"Serialized fiction, LitRPG/progression fantasy",UNKNOWN,NONE directly - free-to-read audience building only,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Zero direct; indirect funnel to Patreon/KU,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-16,T3,WITHHELD,"Distribution/audience layer, not a revenue platform"
beehiiv,UNKNOWN,UNKNOWN,UNKNOWN,"Subscriptions, ads, referrals",0% revenue cut; payouts 1-2 days,Flat monthly fee payable before any revenue,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None - owned audience model,UNKNOWN,UNKNOWN,"Good economics, no built-in demand",Long,UNKNOWN,UNKNOWN,2026-08-16,T3/T4,WITHHELD,Fixed cost before first revenue conflicts with low-startup-cost criterion
Ghost,UNKNOWN,UNKNOWN,UNKNOWN,Subscriptions,0% revenue cut; Stripe processing only,"Flat monthly fee, or self-host",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-08-16,T3/T4,WITHHELD,Same structural issue as beehiiv
