charge,claim,finding,source_url,source_grade,date_checked,verdict_impact
2,"Amazon PA-API 5.0 exposes SalesRank (BSR)","CONFIRMED. BrowseNodeInfo.WebsiteSalesRank returns website sales rank; BrowseNodes.SalesRank returns per-node rank. BSR is an official API field, not scrape-only.",https://webservices.amazon.com/paapi5/documentation/browsenodeinfo.html,PRIMARY,2026-08-16,"Weakens 'no compliant route' — BSR is officially exposed"
2,"PA-API eligibility is open","FALSE as an open route. Requires Amazon Associates account with qualifying referral sales; access lost after 30 consecutive days with no qualified sales. Creators API states 10 qualifying sales in past 30 days.",https://affiliate-program.amazon.com/help/node/topic/GVJ2BJP35457CLML,PRIMARY,2026-08-16,"Supports Brain: real eligibility gate, chicken-and-egg for a no-audience account"
2,"PA-API 5.0 is the current route","OUTDATED. PA-API deprecated 2026-05-15 and no longer accepting new customers; successor is Creators API. Audit date 2026-08-16 is post-deprecation.",https://affiliate-program.amazon.com/creatorsapi/docs/en-us/paapiv5-deprecation,PRIMARY,2026-08-16,"Route exists but under a new name; Brain checked neither"
2,"Keepa API is a compliant non-scraping route to Amazon data","CONFIRMED as a product. Keepa API docs state programmatic access to price histories, product data, marketplace offers, deals, BEST SELLER LISTS, category lookup and product search on Amazon marketplaces. Paid token/subscription model. No Associates-sales eligibility gate.",https://keepa.com/api-docs/,PRIMARY,2026-08-16,"Materially weakens 'no compliant autonomous route exists'"
2,"Rainforest API (Traject Data) exposes Amazon bestsellers/reviews/search programmatically","CONFIRMED as a product: bestsellers endpoint, review data (star ratings, counts, text), search and category pages, free trial 100 requests. NOTE: collection method is vendor-side extraction; compliance of the vendor's own collection NOT verified by this audit.",https://docs.trajectdata.com/rainforestapi/product-data-api/parameters/bestsellers,PRIMARY,2026-08-16,"Route exists; compliance grade of vendor method unverified"
2,"KDP's own reports give competitive/niche data to account holders","FALSE — and this SUPPORTS the Brain. KDP Dashboard/Sales/Historical/Month-to-Date reports cover only the account holder's OWN orders, royalties and KENP reads. No competitor BSR, no first-page review counts, no keyword volume.",https://kdp.amazon.com/en_US/help/topic/GVTTXHKHVPAPBEDQ,PRIMARY,2026-08-16,"Supports Brain on this sub-route only"
2,"Google Books API is a free public compliant book-data API","CONFIRMED. GET https://www.googleapis.com/books/v1/volumes?q= ; public volume data needs no authorization (key only for quota/reporting); returns volume list plus totalItems (competition depth), publish dates, publishers, categories.",https://developers.google.com/books/docs/v1/using,PRIMARY,2026-08-16,"Compliant route to publish-date and competition-depth data"
2,"'Live marketplace data cannot be obtained through any compliant autonomous route FROM THIS ENVIRONMENT'","FALSIFIED IN PART BY DIRECT TEST. curl to https://www.googleapis.com/books/v1/volumes from THIS container returns HTTP 429 with a well-formed Google API quota error (anonymous shared-project daily quota) — i.e. the host is REACHABLE and the API responds. Not an egress block. openlibrary.org/api.keepa.com/webservices.amazon.com/kdp.amazon.com all return 000 (blocked).",runtime-test:curl-from-container,PRIMARY,2026-08-16,"DIRECTLY CONTRADICTS the decisive capability claim"
3,"'The algorithm rewards momentum not existence' / new title 'won't even surface in Amazon search'","CONTRADICTED IN PART BY AMAZON'S OWN DOCS. KDP Sales Ranking states rank 'takes previous sales into account as well as recent sales' and that 'one sale of a lower volume book may significantly improve that book's rank'. In a low-volume niche minimal sales move rank materially — which is the mechanism the niche strategy depends on.",https://kdp.amazon.com/en_US/help/topic/G201648140,PRIMARY,2026-08-16,"Weakens the strong form of the kill evidence"
3,"New titles have no dedicated visibility surface","FALSE. Amazon operates per-category New Releases lists ('best-selling new & future releases') across the book taxonomy, e.g. /gp/new-releases/books, /books/10134 Genre Literature & Fiction, /digital-text/154606011 Kindle eBooks. A new title competes against a new-release cohort, not the all-time backlist.",https://www.amazon.com/gp/new-releases/books,PRIMARY,2026-08-16,"Structural advantage for new titles the Brain never considered"
3,"#1 New Release badge exists and is reachable at low sales in narrow categories","Badge awarded to the #1 best seller among new releases in a category, within the first 90 days of listing; definition of 'new release' varies by category; updated hourly. Source is Amazon Seller Forums (user-generated), not Amazon help copy.",https://sellercentral.amazon.com/seller-forums/discussions/t/84890c9f-d38a-42dc-a9f0-39c69310bf72,SECONDARY,2026-08-16,"L4/L5 launch remedy the kill discarded"
3,"Amazon 'honeymoon period' gives new listings an automatic visibility boost","NOT SUPPORTED AS AN AUTOMATIC BOOST — but the corrected account still contradicts the Brain. Consensus of seller-side sources: it is a cold-start SAMPLING/evaluation window (~30-45 days per Helium 10 / Jungle Scout aggregate data) in which Amazon DOES serve impressions to test shopper response, then sustains or withdraws them based on conversion. Some sources call the 'boost' a myth outright. NOTE: these sources are Amazon-general/physical-product, not book-specific — transfer to KDP unverified.",https://code3.com/resources/honeymoon-period-decoded-the-truth-behind-amazons-cold-start-algorithm/,SECONDARY,2026-08-16,"Contradicts 'won't even surface' at exactly C-0's metric (impressions)"
2,"KDP surfaces no competitive demand data","PARTLY FALSE. KDP 'Book Trends Data' is an aggregate count of customers engaging with a title over the most recent 30 days (via categories, Look Inside, customer reviews, search results), updated daily, and is DISPLAYED IN SEARCH AND ON DETAIL PAGES — i.e. it is a public demand signal on other titles, not only one's own.",https://kdp.amazon.com/en_US/help/topic/G3WC49TM63DUM4VW,PRIMARY,2026-08-16,"A demand proxy that does not require BSR; never considered"
